No.,Time,Source,Destination,Protocol,Length,Type,Duration,,,Total Duration
43577,329.36098,10.8.0.117,147.32.83.230,TCP,60,out,0.000000 ,,22,10.498356 
43610,330.50439,10.8.0.117,147.32.83.230,TCP,60,out,1.143410 ,,43,104.389713 
43618,332.621665,10.8.0.117,147.32.83.230,TCP,60,out,2.117275 ,,64,170.697592 
43619,336.632123,10.8.0.117,147.32.83.230,TCP,60,out,4.010458 ,,85,82.931999 
43620,336.632697,147.32.83.230,10.8.0.117,TCP,60,in,0.000574 ,,106,72.759538 
43621,336.63382,10.8.0.117,147.32.83.230,TCP,52,out,0.001123 ,,127,
43622,336.634063,10.8.0.117,147.32.83.230,HTTP,320,out,0.000243 ,,148,
43623,336.83158,10.8.0.117,147.32.83.230,TCP,320,out,0.197517 ,,169,
43624,336.832058,147.32.83.230,10.8.0.117,TCP,64,in,0.000478 ,,190,
43625,339.831869,147.32.83.230,10.8.0.117,HTTP,363,in,2.999811 ,,211,
43626,339.833131,10.8.0.117,147.32.83.230,TCP,52,out,0.001262 ,,232,
43627,339.838656,10.8.0.117,147.32.83.230,HTTP,345,out,0.005525 ,,253,
43628,339.839204,10.8.0.117,147.32.83.230,TCP,60,out,0.000548 ,,274,
43629,339.839628,147.32.83.230,10.8.0.117,TCP,60,in,0.000424 ,,295,
43630,339.840675,10.8.0.117,147.32.83.230,TCP,52,out,0.001047 ,,316,
43631,339.842112,10.8.0.117,147.32.83.230,HTTP,379,out,0.001437 ,,337,
43632,339.848435,147.32.83.230,10.8.0.117,HTTP,265,in,0.006323 ,,358,
43633,339.851211,10.8.0.117,147.32.83.230,HTTP,345,out,0.002776 ,,379,
43634,339.856642,147.32.83.230,10.8.0.117,HTTP,181,in,0.005431 ,,400,
43635,339.85787,10.8.0.117,147.32.83.230,TCP,52,out,0.001228 ,,421,
43636,339.859336,10.8.0.117,147.32.83.230,WebSocket,64,out,0.001466 ,,442,
43637,339.864431,147.32.83.230,10.8.0.117,WebSocket,60,in,0.005095 ,,463,
43638,339.903829,10.8.0.117,147.32.83.230,TCP,52,out,0.039398 ,,484,
43639,339.965735,147.32.83.230,10.8.0.117,HTTP,264,in,0.061906 ,,505,
43640,339.968025,10.8.0.117,147.32.83.230,WebSocket,59,out,0.002290 ,,526,
43641,340.004114,10.8.0.117,147.32.83.230,TCP,52,out,0.036089 ,,547,
43642,340.179055,147.32.83.230,10.8.0.117,TCP,52,in,0.174941 ,,568,
43643,340.180186,10.8.0.117,147.32.83.230,WebSocket,59,out,0.001131 ,,589,
43644,340.180593,147.32.83.230,10.8.0.117,TCP,64,in,0.000407 ,,610,
43702,364.87876,10.8.0.117,147.32.83.230,WebSocket,59,out,24.698167 ,,631,
43703,365.089352,147.32.83.230,10.8.0.117,TCP,52,in,0.210592 ,,652,
43707,387.53571,147.32.83.230,10.8.0.117,WebSocket,55,in,22.446358 ,,673,
43708,387.537124,10.8.0.117,147.32.83.230,TCP,52,out,0.001414 ,,694,
43727,412.591556,10.8.0.117,147.32.83.230,WebSocket,59,out,25.054432 ,,715,
43728,412.793382,147.32.83.230,10.8.0.117,TCP,52,in,0.201826 ,,736,
43729,419.22495,147.32.83.230,10.8.0.117,WebSocket,55,in,6.431568 ,,757,
43730,419.22652,10.8.0.117,147.32.83.230,TCP,52,out,0.001570 ,,778,
43734,435.270868,147.32.83.230,10.8.0.117,WebSocket,103,in,16.044348 ,,799,
43735,435.272402,10.8.0.117,147.32.83.230,TCP,52,out,0.001534 ,,820,
43736,435.278022,10.8.0.117,147.32.83.230,WebSocket,144,out,0.005620 ,,841,
43737,435.485154,147.32.83.230,10.8.0.117,TCP,52,in,0.207132 ,,862,
43738,444.249049,10.8.0.117,147.32.83.230,WebSocket,59,out,8.763895 ,,883,
43739,444.48045,147.32.83.230,10.8.0.117,TCP,52,in,0.231401 ,,904,
43812,459.965809,147.32.83.230,10.8.0.117,TCP,52,in,15.485359 ,,925,
43813,460.005735,10.8.0.117,147.32.83.230,TCP,52,out,0.039926 ,,946,
43814,469.906521,147.32.83.230,10.8.0.117,WebSocket,55,in,9.900786 ,,967,
43815,469.945498,10.8.0.117,147.32.83.230,TCP,52,out,0.038977 ,,988,
43844,494.950147,10.8.0.117,147.32.83.230,WebSocket,59,out,25.004649 ,,1009,
43845,495.149243,147.32.83.230,10.8.0.117,TCP,52,in,0.199096 ,,1030,
43846,510.289444,147.32.83.230,10.8.0.117,WebSocket,55,in,15.140201 ,,1051,
43847,510.290823,10.8.0.117,147.32.83.230,TCP,52,out,0.001379 ,,1072,
43864,535.332658,10.8.0.117,147.32.83.230,WebSocket,59,out,25.041835 ,,1093,
43865,535.333705,147.32.83.230,10.8.0.117,WebSocket,55,in,0.001047 ,,1114,
43866,535.335182,10.8.0.117,147.32.83.230,TCP,52,out,0.001477 ,,1135,
43867,560.381735,10.8.0.117,147.32.83.230,WebSocket,59,out,25.046553 ,,1156,
43868,560.579388,147.32.83.230,10.8.0.117,TCP,52,in,0.197653 ,,1177,
