no,original_no,length,data,protocol,duration,type,source,destination
2,26854,60,,tcp,0,out,37451,1337
3,26855,60,,tcp,0.022053,in,1377,37451
4,26856,52,,tcp,0.006701,out,37451,1337
5,26857,1401,,tcp,1.390974,out,37451,1337
7,26859,1401,,tcp,0.001286,out,37451,1337
9,26861,328,,tcp,0.000024,out,37451,1337
10,26862,64,,tcp,0.001037,in,1377,37451
11,26863,1400,,tcp,0.002319,out,37451,1337
12,26864,1400,,tcp,0.000022,out,37451,1337
13,26865,54,,tcp,2.114336,out,37451,1337
14,26866,64,,tcp,0.000755,in,1377,37451
15,26867,64,,tcp,0.000016,in,1377,37451
16,26868,52,,tcp,0.000022,in,1377,37451
17,26869,59,,tcp,2.114336,in,1377,37451
18,26870,52,,tcp,0.089345,out,37451,1337
19,26871,1400,,tcp,2.83698,out,37451,1337
20,26872,1400,,tcp,0.00107,out,37451,1337
21,26873,283,,tcp,0.000056,out,37451,1337
22,26874,52,,tcp,0.001007,in,1377,37451
23,26875,88,,tcp,0.101489,out,37451,1337
24,26876,52,,tcp,0.203612,in,1377,37451
25,26877,88,,tcp,0.021058,out,37451,1337
26,26878,64,,tcp,0.001015,in,1377,37451
27,26879,59,,tcp,8.743544,in,1377,37451
28,26880,52,,tcp,0.071273,out,37451,1337
29,26881,88,,tcp,0.532058,out,37451,1337
30,26882,52,,tcp,0.209232,in,1377,37451
31,26883,88,,tcp,0.074619,out,37451,1337
32,26884,64,,tcp,0.001349,in,1377,37451
33,26885,59,,tcp,11.111313,in,1377,37451
34,26886,52,,tcp,0.059192,out,37451,1337
35,26887,88,,tcp,0.136432,out,37451,1337
36,26888,52,,tcp,0.210736,in,1377,37451
37,26889,59,,tcp,11.640827,in,1377,37451
38,26890,52,,tcp,0.088807,out,37451,1337
39,26891,88,,tcp,0.810985,out,37451,1337
40,26892,52,,tcp,0.209178,in,1377,37451
41,26893,59,,tcp,10.891035,in,1377,37451
42,26894,52,,tcp,0.070256,out,37451,1337
43,26895,88,,tcp,2.549897,out,37451,1337
44,26896,52,,tcp,0.207867,in,1377,37451
45,26897,59,,tcp,9.193881,in,1377,37451
46,26898,52,,tcp,0.131647,out,37451,1337
47,26899,1400,,tcp,2.857493,out,37451,1337
48,26900,1400,,tcp,0.001251,out,37451,1337
49,26901,283,,tcp,0.000052,out,37451,1337
50,26902,52,,tcp,0.000983,in,1377,37451
51,26903,52,,tcp,0.000965,in,1377,37451
52,26904,88,,tcp,2.125315,out,37451,1337
53,26905,52,,tcp,0.203396,in,1377,37451
54,26906,59,,tcp,6.716192,in,1377,37451
55,26907,52,,tcp,0.076589,out,37451,1337
56,26908,88,,tcp,8.386338,out,37451,1337
57,26909,52,,tcp,0.211877,in,1377,37451
58,26910,59,,tcp,3.313272,in,1377,37451
59,26911,52,,tcp,0.075677,out,37451,1337
65,26917,59,,tcp,11.924518,in,1377,37451
66,26918,88,,tcp,0.023022,out,37451,1337
67,26919,52,,tcp,0.003398,out,37451,1337
68,26920,52,,tcp,0.207213,in,1377,37451
69,26921,88,,tcp,8.036456,in,1377,37451
70,26922,52,,tcp,0.075229,out,37451,1337
71,26923,332,,tcp,0.459522,out,37451,1337
72,26924,52,,tcp,0.210009,in,1377,37451
73,26925,88,,tcp,2.144068,out,37451,1337
74,26926,52,,tcp,0.214875,in,1377,37451
75,26927,59,,tcp,0.626455,in,1377,37451
76,26928,52,,tcp,0.031635,out,37451,1337
77,26929,88,,tcp,7.261384,out,37451,1337
78,26930,52,,tcp,0.205952,in,1377,37451
79,26931,59,,tcp,4.500769,in,1377,37451
80,26932,52,,tcp,0.114338,out,37451,1337
81,26933,88,,tcp,5.82726,out,37451,1337
82,26934,52,,tcp,0.213832,in,1377,37451
83,26935,59,,tcp,5.845058,in,1377,37451
84,26936,52,,tcp,0.097068,out,37451,1337
85,26937,88,,tcp,5.992877,out,37451,1337
86,26938,52,,tcp,0.20553,in,1377,37451
90,26942,59,,tcp,0.20553,in,1377,37451
91,26943,52,,tcp,0.069055,out,37451,1337
95,26947,88,,tcp,7.190998,out,37451,1337
96,26948,52,,tcp,0.207752,in,1377,37451
97,26949,98,,tcp,2.113105,in,1377,37451
98,26950,52,,tcp,0.122186,out,37451,1337
99,26951,312,,tcp,0.075116,out,37451,1337
100,26952,52,,tcp,0.205375,in,1377,37451
140,26992,52,,tcp,0.044152,out,37451,1337
141,26993,88,,tcp,2.856307,out,37451,1337
142,26994,52,,tcp,0.208345,in,1377,37451
264,27116,59,,tcp,8.891307,in,1377,37451
265,27117,52,,tcp,0.123656,out,37451,1337
266,27118,88,,tcp,0.075131,out,37451,1337
267,27119,52,,tcp,0.207217,in,1377,37451
276,27128,88,,tcp,11.107041,out,37451,1337
277,27129,52,,tcp,0.205201,in,1377,37451
278,27130,59,,tcp,0.281862,in,1377,37451
279,27131,52,,tcp,0.107486,out,37451,1337
284,27136,59,,tcp,11.910185,in,1377,37451
285,27137,52,,tcp,0.071245,out,37451,1337
286,27138,88,,tcp,0.050235,out,37451,1337
