no,original_no,length,data,protocol,duration,type,source,destination
1,54650,60,0,tcp,0,out,41881,1337
2,54651,40,0,tcp,0.000706,in,1337,41881
3,54652,60,0,tcp,0,out,41883,1337
4,54653,40,0,tcp,0.000828,in,1337,41883
5,54654,60,0,tcp,0,out,41885,1337
6,54655,40,0,tcp,0.000698,in,1337,41885
7,54656,60,0,tcp,0,out,41887,1337
8,54657,40,0,tcp,0.000777,in,1337,41887
12,54661,60,0,tcp,0,out,41889,1337
13,54662,40,0,tcp,0.000628,in,1337,41889
14,54663,60,0,tcp,0,out,41891,1337
15,54664,40,0,tcp,0.000466,in,1337,41891
16,54665,60,0,tcp,0,out,41893,1337
17,54666,52,0,tcp,0.000636,in,1337,41893
18,54667,40,0,tcp,0.006764,out,41893,1337
19,54668,46,6,tcp,0.009872,in,1337,41893
20,54669,40,0,tcp,0.007169,out,41893,1337
21,54670,104,64,tcp,0.017935,out,41893,1337
22,54671,40,0,tcp,0.063455,in,1337,41893
97,54746,45,5,tcp,7.973698,in,1337,41893
98,54747,45,5,tcp,0.048593,out,41893,1337
99,54748,40,0,tcp,0.037032,out,41893,1337
100,54749,40,0,tcp,0.005503,in,1337,41893
104,54753,62,34,udp,0,out,41299,1337
105,54754,45,5,tcp,8.02704,out,41893,1337
106,54755,45,5,tcp,0.000782,in,1337,41893
107,54756,40,0,tcp,0.004022,out,41893,1337
108,54757,45,5,tcp,8.005771,out,41893,1337
109,54758,40,0,tcp,0.048017,in,1337,41893
110,54759,45,5,tcp,0.218583,in,1337,41893
111,54760,40,0,tcp,0.084695,out,41893,1337
118,54767,45,5,tcp,7.653568,out,41893,1337
119,54768,40,0,tcp,0.043359,in,1337,41893
120,54769,45,5,tcp,0.468865,in,1337,41893
121,54770,40,0,tcp,0.122821,out,41893,1337
122,54771,62,34,udp,0,out,44048,1337
124,54773,90,62,tcp,7.493138,out,41893,1337
125,54774,45,5,tcp,0.056368,in,1337,41893
126,54775,40,5,tcp,0.458208,in,1337,41893
127,54776,40,0,tcp,0.086689,out,41893,1337
128,54777,45,5,tcp,7.494801,out,41893,1337
129,54778,40,0,tcp,0.053308,in,1337,41893
130,54779,45,5,tcp,0.453654,in,1337,41893
131,54780,40,0,tcp,0.093043,out,41893,1337
132,54781,62,34,udp,0,out,38401,1337
133,54782,45,5,tcp,7.463393,out,41893,1337
134,54783,40,0,tcp,0.052716,in,1337,41893
135,54784,45,5,tcp,0.465151,in,1337,41893
136,54785,40,0,tcp,0.10414,out,41893,1337
137,54786,70,30,tcp,2.656953,in,1337,41893
138,54787,40,0,tcp,0.106075,out,41893,1337
148,54797,65,25,tcp,0.958048,out,41893,1337
149,54798,40,0,tcp,0.053002,in,1337,41893
150,54799,60,0,tcp,0,out,37842,1334
151,54800,52,0,tcp,0.000834,in,1334,37842
152,54801,40,0,tcp,0.008147,out,37842,1334
153,54802,44,4,tcp,0.007459,out,37842,1334
154,54803,40,0,tcp,0.000725,out,37842,1334
155,54804,40,0,tcp,0.000728,in,1334,37842
156,54805,40,0,tcp,0.000357,in,1334,37842
157,54806,40,0,tcp,0.004525,out,37842,1334
160,54809,45,5,tcp,6.954297,in,1337,41893
161,54810,45,0,tcp,0.306055,out,41893,1337
162,54811,40,0,tcp,0.010721,in,1337,41893
163,54812,52,0,tcp,0,in,1337,41893
164,54813,45,5,tcp,0.894463,out,41893,1337
165,54814,40,0,tcp,0.069443,in,1337,41893
166,54815,62,34,udp,0,out,45927,1337
167,54816,45,5,tcp,6.921429,in,1337,41893
168,54817,40,0,tcp,0.115561,out,41893,1337
169,54818,45,5,tcp,1.182757,out,41893,1337
170,54819,40,0,tcp,0.045103,in,1337,41893
171,54820,45,5,tcp,6.906444,in,1337,41893
172,54821,40,0,tcp,0.055215,out,41893,1337
173,54822,45,5,tcp,1.174157,out,41893,1337
174,54823,40,0,tcp,0.05197,in,1337,41893
175,54824,45,5,tcp,6.953241,in,1337,41893
176,54825,40,0,tcp,0.11995,out,41893,1337
177,54826,62,34,udp,0,out,40713,1337
178,54827,45,5,tcp,1.125109,out,41893,1337
179,54828,40,0,tcp,0.054614,in,1337,41893
180,54829,45,5,tcp,6.73213,in,1337,41893
181,54830,40,0,tcp,0.075068,out,41893,1337
182,54831,45,5,tcp,1.429192,out,41893,1337
183,54832,40,0,tcp,0.041998,in,1337,41893
184,54833,45,5,tcp,6.705446,in,1337,41893
185,54834,40,0,tcp,0.118683,out,41893,1337
186,54835,45,5,tcp,1.1488,out,41893,1337
187,54836,40,0,tcp,0.04273,in,1337,41893
188,54837,62,34,udp,0,out,40365,1337
189,54838,45,5,tcp,6.751762,in,1337,41893
190,54839,40,0,tcp,0.041368,out,41893,1337
191,54840,45,5,tcp,1.422961,out,41893,1337
192,54841,40,0,tcp,0.049589,in,1337,41893
193,54842,45,5,tcp,0.270677,in,1337,41893
194,54843,52,0,tcp,0.000878,out,41893,1337
