no,original_no,length,data,protocol,duration,type,source,destination
1,67342,60,0,tcp,0,out,38236,443
2,67343,60,0,tcp,0.000748,in,443,38236
3,67344,52,0,tcp,0.001976,out,38236,443
4,67345,569,0,TLSv1.2,0.003685,out,38236,443
5,67346,52,0,tcp,0.00064,in,443,38236
6,67347,1401,0,TLSv1.2,0.215953,in,443,38236
7,67348,1401,0,TLSv1.2,0.000024,in,443,38236
8,67349,328,0,TLSv1.2,0.000005,in,443,38236
9,67350,238,0,tcp,0.008665,in,443,38236
10,67351,52,0,tcp,0.086281,out,38236,443
11,67352,52,0,tcp,0.000065,out,38236,443
12,67353,52,0,tcp,0.000023,out,38236,443
13,67354,64,0,tcp,0.000501,out,38236,443
14,67355,137,0,TLSv1.2,0.03477,out,38236,443
15,67356,52,0,tcp,0.000645,in,443,38236
16,67357,95,0,TLSv1.2,0.113384,in,443,38236
17,67358,52,0,tcp,0.004408,out,38236,443
18,67359,308,0,TLSv1.2,0.010184,out,38236,443
19,67360,52,0,tcp,0.000622,out,38236,443
20,67361,327,0,TLSv1.2,0.113657,in,443,38236
21,67362,209,0,TLSv1.2,0.000066,in,443,38236
22,67363,52,0,tcp,0.021963,out,38236,443
23,67364,143,0,TLSv1.2,0.012483,out,38236,443
24,67365,52,0,tcp,0.000591,in,443,38236
25,67366,1095,0,TLSv1.2,0.002512,out,38236,443
26,67367,52,0,tcp,0.000636,in,443,38236
27,67368,118,0,TLSv1.2,0.110074,in,443,38236
28,67369,730,0,TLSv1.2,0.00339,in,443,38236
29,67370,52,0,tcp,0.003012,out,38236,443
30,67371,465,0,TLSv1.2,0.003418,out,38236,443
31,67372,52,0,tcp,0.00058,in,443,38236
32,67373,509,0,TLSv1.2,0.002097,out,38236,443
33,67374,52,0,tcp,0.000611,in,443,38236
34,67375,118,0,TLSv1.2,0.112943,in,443,38236
35,67376,118,0,TLSv1.2,0.004778,in,443,38236
36,67377,118,0,TLSv1.2,0.001551,in,443,38236
37,67378,52,0,tcp,0.005753,out,38236,443
38,67379,235,0,TLSv1.2,0.007882,out,38236,443
39,67380,52,0,tcp,0.000601,in,443,38236
40,67381,178,0,TLSv1.2,0.005812,out,38236,443
41,67382,52,0,tcp,0.00054,in,443,38236
42,67383,118,0,TLSv1.2,0.109824,in,443,38236
43,67384,222,0,TLSv1.2,0.00367,in,443,38236
44,67385,52,0,tcp,0.002943,out,38236,443
45,67386,171,0,TLSv1.2,0.01025,out,38236,443
46,67387,52,0,tcp,0.000609,in,443,38236
47,67388,458,0,TLSv1.2,0.00501,out,38236,443
48,67389,52,0,tcp,0.00062,in,443,38236
49,67390,118,0,tcp,0.107658,in,443,38236
50,67391,118,0,TLSv1.2,0.007092,in,443,38236
51,67392,52,0,tcp,0.00367,out,38236,443
89,67430,246,0,TLSv1.2,20.079594,out,38236,443
90,67431,52,0,tcp,0.000687,in,443,38236
91,67432,118,0,TLSv1.2,0.115119,in,443,38236
92,67433,52,0,tcp,0.086946,out,38236,443
93,67434,268,0,TLSv1.2,0.506971,out,38236,443
94,67435,52,0,tcp,0.00065,in,443,38236
95,67436,268,0,TLSv1.2,0.053546,out,38236,443
96,67437,52,0,tcp,0.000624,in,443,38236
97,67438,119,0,TLSv1.2,0.061079,in,443,38236
98,67439,119,0,TLSv1.2,0.052305,in,443,38236
99,67440,268,0,TLSv1.2,0.038881,out,38236,443
100,67441,52,0,tcp,0.000624,in,443,38236
101,67442,52,0,tcp,0.00333,out,38236,443
102,67443,52,0,tcp,0.000054,out,38236,443
103,67444,268,0,TLSv1.2,0.077411,out,38236,443
104,67445,52,0,tcp,0.000635,in,443,38236
105,67446,119,0,TLSv1.2,0.0321,in,443,38236
106,67447,268,0,TLSv1.2,0.064666,out,38236,443
107,67448,52,0,tcp,0.002449,out,38236,443
108,67449,52,0,tcp,0.003165,in,443,38236
109,67450,268,0,TLSv1.2,0.004642,out,38236,443
110,67451,52,0,tcp,0.000608,in,443,38236
111,67452,283,0,TLSv1.2,0.001972,out,38236,443
112,67453,52,0,tcp,0.000616,in,443,38236
113,67454,283,0,TLSv1.2,0.002873,out,38236,443
114,67455,119,0,TLSv1.2,0.00032,in,443,38236
115,67456,52,0,tcp,0.004885,in,443,38236
116,67457,271,0,TLSv1.2,0.001866,out,38236,443
117,67458,52,0,tcp,0.000592,in,443,38236
118,67459,271,0,TLSv1.2,0.001656,out,38236,443
119,67460,52,0,tcp,0.000596,in,443,38236
120,67461,275,0,TLSv1.2,0.005214,out,38236,443
121,67462,52,0,tcp,0.000618,in,443,38236
122,67463,276,0,TLSv1.2,0.002183,out,38236,443
123,67464,52,0,tcp,0.000631,in,443,38236
124,67465,277,0,TLSv1.2,0.003086,out,38236,443
125,67466,52,0,tcp,0.00062,in,443,38236
126,67467,276,0,TLSv1.2,0.002105,out,38236,443
127,67468,52,0,tcp,0.000631,in,443,38236
128,67469,277,0,TLSv1.2,0.004286,out,38236,443
129,67470,52,0,tcp,0.00063,in,443,38236
130,67471,284,0,TLSv1.2,0.003849,out,38236,443
131,67472,52,0,tcp,0.000608,in,443,38236
132,67473,285,0,TLSv1.2,0.004813,out,38236,443
133,67474,52,0,tcp,0.00061,in,443,38236
134,67475,492,0,TLSv1.2,0.001747,out,38236,443
135,67476,52,0,tcp,0.000615,in,443,38236
136,67477,273,0,TLSv1.2,0.003517,out,38236,443
137,67478,52,0,tcp,0.000624,in,443,38236
