no,original_no,length,data,protocol,duration,type,source,destination
1,36901,60,0,tcp,0,out,41512,8000
2,36902,60,0,tcp,0.00068,in,8000,41512
3,36903,52,0,tcp,0.001186,out,41512,8000
8,36908,171,119,tcp,1.056576,out,41512,8000
9,36909,171,0,tcp,0.203636,out,41512,8000
10,36910,64,0,tcp,0.000439,in,8000,41512
11,36911,1400,0,tcp,0.212377,in,8000,41512
12,36912,52,0,tcp,0.001574,out,41512,8000
13,36913,1400,1348,tcp,0.000828,in,8000,41512
14,36914,1400,1348,tcp,0.00026,in,8000,41512
15,36915,64,0,tcp,0.001186,out,41512,8000
16,36916,64,0,tcp,0.000057,out,41512,8000
17,36917,1400,0,tcp,0.001036,in,8000,41512
18,36918,1400,0,tcp,0.000114,in,8000,41512
19,36919,64,0,tcp,0.001243,out,41512,8000
20,36920,64,0,tcp,0.000213,out,41512,8000
21,36921,228,0,tcp,0.000256,in,8000,41512
22,36922,64,0,tcp,0.000929,out,41512,8000
23,36923,1400,1348,tcp,0.000955,in,8000,41512
24,36924,1400,1348,tcp,0.000058,in,8000,41512
25,36925,1400,1348,tcp,0.000208,in,8000,41512
26,36926,579,527,tcp,0.000009,in,8000,41512
27,36927,52,0,tcp,0.001023,out,41512,8000
28,36928,52,0,tcp,0.000227,out,41512,8000
29,36929,52,0,tcp,0.000049,out,41512,8000
30,36930,52,0,tcp,0.000292,out,41512,8000
31,36931,1400,1348,tcp,0.005498,in,8000,41512
32,36932,1400,1348,tcp,0.00008,in,8000,41512
33,36933,1400,1348,tcp,0.000257,in,8000,41512
34,36934,925,873,tcp,0.000009,in,8000,41512
35,36935,52,0,tcp,0.001116,out,41512,8000
36,36936,52,0,tcp,0.000054,out,41512,8000
37,36937,52,0,tcp,0.000032,out,41512,8000
38,36938,52,0,tcp,0.000455,out,41512,8000
39,36939,1400,1348,tcp,0.013966,in,8000,41512
40,36940,1400,1348,tcp,0.00016,in,8000,41512
41,36941,1400,1348,tcp,0.000245,in,8000,41512
42,36942,1400,1348,tcp,0.000009,in,8000,41512
43,36943,1400,1348,tcp,0.000109,in,8000,41512
44,36944,52,0,tcp,0.000921,out,41512,8000
45,36945,52,0,tcp,0.000057,out,41512,8000
46,36946,52,0,tcp,0.000434,out,41512,8000
47,36947,52,0,tcp,0.000058,out,41512,8000
48,36948,1400,1348,tcp,0.000475,in,8000,41512
49,36949,1400,1348,tcp,0.000134,in,8000,41512
50,36950,52,0,tcp,0.000091,out,41512,8000
51,36951,1400,1348,tcp,0.000131,in,8000,41512
52,36952,1400,1348,tcp,0.000009,in,8000,41512
53,36953,1400,1348,tcp,0.000127,in,8000,41512
54,36954,572,520,tcp,0.000625,in,8000,41512
55,36955,52,0,tcp,0.000349,out,41512,8000
56,36956,52,0,tcp,0.000321,out,41512,8000
57,36957,52,0,tcp,0.000058,out,41512,8000
58,36958,52,0,tcp,0.000196,out,41512,8000
59,36959,52,0,tcp,0.000308,out,41512,8000
60,36960,52,0,tcp,0.000311,out,41512,8000
61,36961,1400,1348,tcp,0.009674,in,8000,41512
62,36962,1400,1348,tcp,0.000046,in,8000,41512
63,36963,1400,1348,tcp,0.000245,in,8000,41512
64,36964,1400,1348,tcp,0.000148,in,8000,41512
65,36965,1400,1348,tcp,0.000007,in,8000,41512
66,36966,1400,1348,tcp,0.000198,in,8000,41512
67,36967,1400,1348,tcp,0.000225,in,8000,41512
68,36968,52,0,tcp,0.000497,out,41512,8000
69,36969,52,0,tcp,0.000212,out,41512,8000
70,36970,52,0,tcp,0.000049,out,41512,8000
71,36971,52,0,tcp,0.000341,out,41512,8000
72,36972,1095,1043,tcp,0.000057,in,8000,41512
73,36973,52,0,tcp,0.000281,out,41512,8000
74,36974,52,0,tcp,0.000243,out,41512,8000
75,36975,52,0,tcp,0.000263,out,41512,8000
76,36976,52,0,tcp,0.000731,out,41512,8000
77,36977,1400,1348,tcp,0.012112,in,8000,41512
78,36978,1400,1348,tcp,0.000087,in,8000,41512
79,36979,1400,1348,tcp,0.000247,in,8000,41512
80,36980,1400,1348,tcp,0.000137,in,8000,41512
81,36981,1400,1348,tcp,0.000008,in,8000,41512
82,36982,797,745,tcp,0.000218,in,8000,41512
83,36983,52,0,tcp,0.00068,out,41512,8000
84,36984,52,0,tcp,0.000342,out,41512,8000
85,36985,52,0,tcp,0.000057,out,41512,8000
86,36986,52,0,tcp,0.000169,out,41512,8000
87,36987,52,0,tcp,0.000308,out,41512,8000
88,36988,52,0,tcp,0.000356,out,41512,8000
89,36989,1400,1348,tcp,0.013174,in,8000,41512
90,36990,1400,1348,tcp,0.000063,in,8000,41512
91,36991,1400,1348,tcp,0.000287,in,8000,41512
92,36992,733,681,tcp,0.00001,in,8000,41512
93,36993,52,0,tcp,0.001144,out,41512,8000
94,36994,52,0,tcp,0.0002,out,41512,8000
95,36995,52,0,tcp,0.000056,out,41512,8000
96,36996,52,0,tcp,0.000034,out,41512,8000
97,36997,1400,1348,tcp,0.013986,in,8000,41512
98,36998,1400,1348,tcp,0.000043,in,8000,41512
99,36999,1400,1348,tcp,0.000187,in,8000,41512
100,37000,624,572,tcp,0.000008,in,8000,41512
